HGNC_id	HGNC_symbol	HGNC_alias	UniprotKB_Entry	Locus_group
HGNC:2253	CORO1B	coronin-2	Q9BR76	protein-coding gene
HGNC:2254	CORO1C	HCRNN4;coronin-3	Q9ULV4	protein-coding gene
HGNC:2255	CORO2A	IR10;WDR2	Q92828	protein-coding gene
HGNC:2256	CORO2B	ClipinC;KIAA0925	Q9UQ03	protein-coding gene
HGNC:21356	CORO6	ClipinE;FLJ14871	Q6QEF8	protein-coding gene
HGNC:26161	CORO7	POD1;FLJ22021	P57737	protein-coding gene
HGNC:2257	CORT	SST2;MGC32686	O00230	protein-coding gene
HGNC:18304	COTL1	CLP	Q14019	protein-coding gene
HGNC:2260	COX10	not-available	Q12887	protein-coding gene
HGNC:2261	COX11	COX11P	Q9Y6N1	protein-coding gene
HGNC:28216	COX14	MGC14288	Q96I36	protein-coding gene
HGNC:2263	COX15	CEMCOX2	Q7KZN9	protein-coding gene
HGNC:20213	COX16	HSPC203	Q9P0S2	protein-coding gene
HGNC:2264	COX17	not-available	Q14061	protein-coding gene
HGNC:26801	COX18	FLJ38991;OXA1L2	Q8N8Q8	protein-coding gene
HGNC:28074	COX19	MGC104475	Q49B96	protein-coding gene
HGNC:26970	COX20	FLJ43269	Q5RI15	protein-coding gene
HGNC:2265	COX4I1	COXIV;COX4-1;COXIV-1	P13073	protein-coding gene
HGNC:16232	COX4I2	COXIV-2;dJ857M17.2;COX4B;COX4-2	Q96KJ9	protein-coding gene
HGNC:2267	COX5A	COX-VA	P20674	protein-coding gene
HGNC:2269	COX5B	not-available	P10606	protein-coding gene
HGNC:2277	COX6A1	COX6AL	P12074	protein-coding gene
HGNC:2279	COX6A2	COXVIa-M;COXVIAH;COX6AH	Q02221	protein-coding gene
HGNC:2280	COX6B1	COXG	P14854	protein-coding gene
HGNC:24380	COX6B2	FLJ32865;CT59;COXVIB2	Q6YFQ2	protein-coding gene
HGNC:2285	COX6C	not-available	P09669	protein-coding gene
HGNC:2287	COX7A1	COX7AH	P24310	protein-coding gene
HGNC:2288	COX7A2	COX7AL;COXVIIa-L	P14406	protein-coding gene
HGNC:2289	COX7A2L	EB1;SIG81;COX7AR;COX7RP;SCAFI;SCAF1	O14548	protein-coding gene
HGNC:2290	COX7A2P2	COX7AL2	O60397	pseudogene
HGNC:2291	COX7B	not-available	P24311	protein-coding gene
HGNC:24381	COX7B2	not-available	Q8TF08	protein-coding gene
HGNC:2292	COX7C	not-available	P15954	protein-coding gene
HGNC:2294	COX8A	COX8L;COX8-2;COX;VIII;VIII-L	P10176	protein-coding gene
HGNC:24382	COX8C	COX8-3	Q7Z4L0	protein-coding gene
HGNC:2295	CP	AB073614	P00450	protein-coding gene
HGNC:2296	CPA1	not-available	P15085	protein-coding gene
HGNC:2297	CPA2	not-available	P48052	protein-coding gene
HGNC:2298	CPA3	not-available	P15088	protein-coding gene
HGNC:15740	CPA4	CPA3	Q9UI42	protein-coding gene
HGNC:15722	CPA5	not-available	Q8WXQ8	protein-coding gene
HGNC:17245	CPA6	CPAH	Q8N4T0	protein-coding gene
HGNC:23228	CPAMD8	VIP;KIAA1283;K-CAP	Q8IZJ3	protein-coding gene
HGNC:2299	CPB1	not-available	P15086	protein-coding gene
HGNC:2300	CPB2	TAFI;CPU;PCPB	Q96IY4	protein-coding gene
HGNC:2301	CPD	GP180	O75976	protein-coding gene
HGNC:2303	CPE	not-available	P16870	protein-coding gene
HGNC:21744	CPEB1	FLJ13203;CPEB	Q9BZB8	protein-coding gene
HGNC:21745	CPEB2	not-available	Q7Z5Q1	protein-coding gene
HGNC:21746	CPEB3	KIAA0940	Q8NE35	protein-coding gene
HGNC:21747	CPEB4	KIAA1673	Q17RY0	protein-coding gene
HGNC:26159	CPED1	FLJ21986	A4D0V7	protein-coding gene
HGNC:51815	CPHXL	not-available	A0A1W2PPM1	protein-coding gene
HGNC:55919	CPHXL2	not-available	A0A1W2PPK0	protein-coding gene
HGNC:25801	CPLANE1	FLJ13231;JBTS17;Hug	Q9H799	protein-coding gene
HGNC:28127	CPLANE2	MGC10731	Q9BU20	protein-coding gene
HGNC:2309	CPLX1	CPX-I	O14810	protein-coding gene
HGNC:2310	CPLX2	DKFZp547D155;CPX-2	Q6PUV4	protein-coding gene
HGNC:27652	CPLX3	CPX-III	Q8WVH0	protein-coding gene
HGNC:24330	CPLX4	CPX-IV	Q7Z7G2	protein-coding gene
HGNC:2311	CPM	not-available	P14384	protein-coding gene
HGNC:2312	CPN1	not-available	P15169	protein-coding gene
HGNC:2313	CPN2	not-available	P22792	protein-coding gene
HGNC:2314	CPNE1	CPN1	Q99829	protein-coding gene
HGNC:2315	CPNE2	CPN2	Q96FN4	protein-coding gene
HGNC:2316	CPNE3	not-available	O75131	protein-coding gene
HGNC:2317	CPNE4	COPN4;CPN4	Q96A23	protein-coding gene
HGNC:2318	CPNE5	COPN5;CPN5;KIAA1599	Q9HCH3	protein-coding gene
HGNC:2319	CPNE6	N-copine;copine-6	O95741	protein-coding gene
HGNC:2320	CPNE7	not-available	Q9UBL6	protein-coding gene
HGNC:23498	CPNE8	not-available	Q86YQ8	protein-coding gene
HGNC:24336	CPNE9	KIAA4217	Q8IYJ1	protein-coding gene
HGNC:21011	CPO	not-available	Q8IVL8	protein-coding gene
HGNC:2321	CPOX	HCP;CPX	P36551	protein-coding gene
HGNC:25632	CPPED1	CSTP1;FLJ11151	Q9BRF8	protein-coding gene
HGNC:16910	CPQ	PGCP;LDP	Q9Y646	protein-coding gene
HGNC:2323	CPS1	GATD6	P31327	protein-coding gene
HGNC:2324	CPSF1	CPSF160	Q10570	protein-coding gene
HGNC:2325	CPSF2	KIAA1367;CPSF100	Q9P2I0	protein-coding gene
HGNC:2326	CPSF3	CPSF73;CPSF-73;YSH1	Q9UKF6	protein-coding gene
HGNC:2327	CPSF4	CPSF30;NAR	O95639	protein-coding gene
HGNC:33632	CPSF4L	not-available	A6NMK7	protein-coding gene
HGNC:13871	CPSF6	CFIM68;HPBRII-4;HPBRII-7;CFIM;CFIM72	Q16630	protein-coding gene
HGNC:30098	CPSF7	FLJ12529;CFIM59	Q8N684	protein-coding gene
HGNC:2328	CPT1A	L-CPT1;CPT1-L	P50416	protein-coding gene
HGNC:2329	CPT1B	CPT1-M;M-CPT1	Q92523	protein-coding gene
HGNC:18540	CPT1C	FLJ23809;CPTIC;CATL1;CPT1P	Q8TCG5	protein-coding gene
HGNC:2330	CPT2	CPTASE	P23786	protein-coding gene
HGNC:28116	CPTP	MGC10334	Q5TA50	protein-coding gene
HGNC:14399	CPVL	not-available	Q9H3G5	protein-coding gene
HGNC:2332	CPXCR1	CT77	Q8N123	protein-coding gene
HGNC:15771	CPXM1	CPX-1;CPX1	Q96SM3	protein-coding gene
HGNC:26977	CPXM2	CPX2;UNQ676	Q8N436	protein-coding gene
HGNC:2333	CPZ	not-available	Q66K79	protein-coding gene
HGNC:2334	CR1	CD35;KN	P17927	protein-coding gene
HGNC:2335	CR1L	not-available	Q2VPA4	protein-coding gene
HGNC:2336	CR2	C3DR;CD21	P20023	protein-coding gene
HGNC:2338	CRABP1	CRABP-I;CRABP;CRABPI	P29762	protein-coding gene
HGNC:2339	CRABP2	CRABP-II	P29373	protein-coding gene
HGNC:29219	CRACD	CRAD	Q6ZU35	protein-coding gene
HGNC:33454	CRACDL	MGC42367	Q6NV74	protein-coding gene
HGNC:28657	CRACR2A	MGC4266;RAB46	Q9BSW2	protein-coding gene
HGNC:28703	CRACR2B	MGC45840	Q8N4Y2	protein-coding gene
HGNC:2340	CRADD	RAIDD	P78560	protein-coding gene
HGNC:14122	CRAMP1	KIAA1426	Q96RY5	protein-coding gene
HGNC:2342	CRAT	CAT1	P43155	protein-coding gene
HGNC:2343	CRB1	LCA8	P82279	protein-coding gene
HGNC:18688	CRB2	FLJ16786;FLJ38464	Q5IJ48	protein-coding gene
HGNC:20237	CRB3	MGC17303	Q9BUF7	protein-coding gene
HGNC:30185	CRBN	MRT2	Q96SW2	protein-coding gene
HGNC:17888	CRCP	CGRP-RCP;POLR3I;RCP9;C17;RCP	O75575	protein-coding gene
HGNC:29875	CRCT1	NICE-1	Q9UGL9	protein-coding gene
HGNC:2345	CREB1	not-available	P16220	protein-coding gene
HGNC:2347	CREB3	sLZIP;Luman;LZIP	O43889	protein-coding gene
HGNC:18856	CREB3L1	OASIS	Q96BA8	protein-coding gene
HGNC:23720	CREB3L2	TCAG_1951439;BBF2H7	Q70SY1	protein-coding gene
HGNC:18855	CREB3L3	CREB-H;CREBH	Q68CJ9	protein-coding gene
HGNC:18854	CREB3L4	hJAL;CREB3;AIbZIP;ATCE1;CREB4	Q8TEY5	protein-coding gene
HGNC:16844	CREB5	H_GS165L15.1;CRE-BPA	Q02930	protein-coding gene
HGNC:2348	CREBBP	CBP;RTS;KAT3A	Q92793	protein-coding gene
HGNC:2350	CREBL2	not-available	O60519	protein-coding gene
HGNC:24050	CREBRF	LRF	Q8IUR6	protein-coding gene
HGNC:24905	CREBZF	SMILE;ZF	Q9NS37	protein-coding gene
HGNC:2351	CREG1	not-available	O75629	protein-coding gene
HGNC:14272	CREG2	not-available	Q8IUH2	protein-coding gene
HGNC:14630	CRELD1	CIRRIN	Q96HD1	protein-coding gene
HGNC:28150	CRELD2	MGC11256	Q6UXH1	protein-coding gene
HGNC:2352	CREM	hCREM-2	Q03060	protein-coding gene
HGNC:2355	CRH	CRF;CRH1	P06850	protein-coding gene
HGNC:2356	CRHBP	CRFBP;CRF-BP	P24387	protein-coding gene
HGNC:2357	CRHR1	CRF-R;CRF1	P34998	protein-coding gene
HGNC:2358	CRHR2	CRF2;CRF-RB;HM-CRF	Q13324	protein-coding gene
HGNC:2359	CRIM1	not-available	Q9NZV1	protein-coding gene
HGNC:2360	CRIP1	CRIP	P50238	protein-coding gene
HGNC:2361	CRIP2	CRP2;ESP1	P52943	protein-coding gene
HGNC:17751	CRIP3	bA480N24.2;TLP-A;TLP	Q6Q6R5	protein-coding gene
HGNC:14312	CRIPT	HSPC139	Q9P021	protein-coding gene
HGNC:11701	CRIPTO	CR-1;CR;Cripto-1	P13385	protein-coding gene
HGNC:11703	CRIPTO3	CR-3;CRIPTO-3;TDGF2	P51864	protein-coding gene
HGNC:304	CRISP1	CRISP-1;ARP;HSCRISP1D;HSCRISP1G;HUMARP	P54107	protein-coding gene
HGNC:12024	CRISP2	CT36;CRISP-2	P16562	protein-coding gene
HGNC:16904	CRISP3	CRISP-3;dJ442L6.3;SGP28;CRS3;Aeg2	P54108	protein-coding gene
HGNC:18206	CRISPLD1	DKFZp762F133;Cocoacrisp	Q9H336	protein-coding gene
HGNC:25248	CRISPLD2	LGL1;DKFZP434B044	Q9H0B8	protein-coding gene
HGNC:2362	CRK	not-available	P46108	protein-coding gene
HGNC:2363	CRKL	not-available	P46109	protein-coding gene
HGNC:2364	CRLF1	CISS;CISS1;CLF-1;CLF	O75462	protein-coding gene
HGNC:14281	CRLF2	CRL2;TSLPR	Q9HC73	protein-coding gene
HGNC:17177	CRLF3	CREME9;CYTOR4	Q8IUI8	protein-coding gene
HGNC:16148	CRLS1	CLS1;GCD10;dJ967N21.6	Q9UJA2	protein-coding gene
HGNC:2365	CRMP1	DRP-1;DPYSL1	Q14194	protein-coding gene
HGNC:15762	CRNKL1	Clf1;SYF3;CLF;CRN	Q9BZJ0	protein-coding gene
HGNC:1230	CRNN	SEP53	Q9UBG3	protein-coding gene
HGNC:21299	CROCC	ROLT;rootletin;CROCC1	Q5TZA2	protein-coding gene
HGNC:51677	CROCC2	not-available	H7BZ55	protein-coding gene
HGNC:28170	CROCCP2	MGC12760	Q86T23	pseudogene
HGNC:29405	CROCCP3	KIAA1922	Q8IVE0	pseudogene
HGNC:2366	CROT	COT	Q9UKG9	protein-coding gene
HGNC:2367	CRP	PTX1	P02741	protein-coding gene
HGNC:37276	CRPPA	hCG_1745121;IspD;Nip	A4D126	protein-coding gene
HGNC:14882	CRTAC1	ASPIC1;CEP-68;FLJ10320	Q9NQ79	protein-coding gene
HGNC:24313	CRTAM	CD355	O95727	protein-coding gene
HGNC:2379	CRTAP	P3H5;CASP;LEPREL3	O75718	protein-coding gene
HGNC:16062	CRTC1	TORC1;FLJ14027;KIAA0616	Q6UUV9	protein-coding gene
HGNC:27301	CRTC2	TORC2	Q53ET0	protein-coding gene
HGNC:26148	CRTC3	FLJ21868	Q6UUV7	protein-coding gene
HGNC:2383	CRX	OTX3;LCA7;CRD	O43186	protein-coding gene
HGNC:2384	CRY1	not-available	Q16526	protein-coding gene
HGNC:2385	CRY2	not-available	Q49AN0	protein-coding gene
HGNC:2388	CRYAA	HSPB4	P02489	protein-coding gene
HGNC:2389	CRYAB	HSPB5	P02511	protein-coding gene
HGNC:2394	CRYBA1	not-available	P05813	protein-coding gene
HGNC:2395	CRYBA2	not-available	P53672	protein-coding gene
HGNC:2396	CRYBA4	not-available	P53673	protein-coding gene
HGNC:2397	CRYBB1	not-available	P53674	protein-coding gene
HGNC:2398	CRYBB2	not-available	P43320	protein-coding gene
HGNC:2400	CRYBB3	not-available	P26998	protein-coding gene
HGNC:356	CRYBG1	not-available	Q9Y4K1	protein-coding gene
HGNC:17295	CRYBG2	FLJ38020	Q8N1P7	protein-coding gene
HGNC:34427	CRYBG3	DKFZp667G2110	Q68DQ2	protein-coding gene
HGNC:2408	CRYGA	CRY-g-A;CRYG5	P11844	protein-coding gene
HGNC:2409	CRYGB	not-available	P07316	protein-coding gene
HGNC:2410	CRYGC	not-available	P07315	protein-coding gene
HGNC:2411	CRYGD	not-available	P07320	protein-coding gene
HGNC:20458	CRYGN	not-available	Q8WXF5	protein-coding gene
HGNC:2417	CRYGS	not-available	P22914	protein-coding gene
HGNC:18246	CRYL1	MGC149525;lambda-CRY;GDH;MGC149526	Q9Y2S2	protein-coding gene
HGNC:2418	CRYM	DFNA40	Q14894	protein-coding gene
HGNC:2419	CRYZ	not-available	Q08257	protein-coding gene
HGNC:2420	CRYZL1	4P11;FERRY4;QOH-1;Fy-4	O95825	protein-coding gene
HGNC:2422	CS	not-available	O75390	protein-coding gene
HGNC:18966	CSAD	CSD;PCAP	Q9Y600	protein-coding gene
HGNC:24294	CSAG1	CT24.1;CSAGE	Q6PB30	protein-coding gene
HGNC:16847	CSAG2	CT24.2;TRAG3	Q9Y5P2	protein-coding gene
HGNC:26237	CSAG3	not-available	Q9Y5P2	protein-coding gene
HGNC:30359	CSDC2	PIPPin	Q9Y534	protein-coding gene
HGNC:29905	CSDE1	D1S155E;UNR	O75534	protein-coding gene
HGNC:2431	CSE1L	CAS;CSE1;XPO2	P55060	protein-coding gene
HGNC:2432	CSF1	MGC31930;M-CSF;MCSF	P09603	protein-coding gene
HGNC:2433	CSF1R	C-FMS;CD115;CSFR	P07333	protein-coding gene
HGNC:2434	CSF2	GMCSF;GM-CSF	P04141	protein-coding gene
HGNC:2435	CSF2RA	CD116;alphaGMR	P15509	protein-coding gene
HGNC:2436	CSF2RB	CD131;IL5RB;betaGMR	P32927	protein-coding gene
HGNC:2438	CSF3	MGC45931	P09919	protein-coding gene
HGNC:2439	CSF3R	GCSFR;G-CSF-R	Q99062	protein-coding gene
HGNC:24290	CSGALNACT1	CSGalNAcT-1;FLJ11264;ChGn	Q8TDX6	protein-coding gene
HGNC:24292	CSGALNACT2	MGC40204;PRO0082;GALNACT-2;GALNACT2	Q8N6G5	protein-coding gene
HGNC:2440	CSH1	hCS-A;CSA;PL;CSMT;FLJ75407	P0DML2	protein-coding gene
HGNC:2441	CSH2	CSB;hCS-B;CS-2	P0DML3	protein-coding gene
HGNC:2442	CSHL1	MGC149868;hCS-L;CSL;CS-5	Q14406	protein-coding gene
HGNC:2444	CSK	not-available	P41240	protein-coding gene
HGNC:33113	CSKMT	U99HG;CS-KMT	A8MUP2	protein-coding gene
HGNC:14026	CSMD1	PPP1R24;KIAA1890	Q96PZ7	protein-coding gene
HGNC:19290	CSMD2	KIAA1884	Q7Z408	protein-coding gene
HGNC:19291	CSMD3	not-available	Q7Z407	protein-coding gene
HGNC:2445	CSN1S1	not-available	P47710	protein-coding gene
HGNC:2447	CSN2	not-available	P05814	protein-coding gene
HGNC:2446	CSN3	not-available	P07498	protein-coding gene
HGNC:2451	CSNK1A1	CKIa;CK1;CKIalpha;CK1alpha;CK1a	P48729	protein-coding gene
HGNC:20289	CSNK1A1L	MGC33182	Q8N752	protein-coding gene
HGNC:2452	CSNK1D	CKID;CKIdelta;HCKID	P48730	protein-coding gene
HGNC:2453	CSNK1E	HCKIE;CKIepsilon;CKIE	P49674	protein-coding gene
HGNC:2454	CSNK1G1	CK1gamma1	Q9HCP0	protein-coding gene
HGNC:2455	CSNK1G2	CK1g2	P78368	protein-coding gene
HGNC:28604	CSNK1G2-AS1	MGC39696	Q8NCQ2	non-coding RNA
HGNC:2456	CSNK1G3	not-available	Q9Y6M4	protein-coding gene
HGNC:2457	CSNK2A1	Cka1;Cka2	P68400	protein-coding gene
HGNC:2459	CSNK2A2	CSNK2A1;CK2alpha'	P19784	protein-coding gene
HGNC:2458	CSNK2A3	not-available	Q8NEV1	protein-coding gene
HGNC:2460	CSNK2B	Ckb1;Ckb2	P67870	protein-coding gene
HGNC:53637	CSNKA2IP	not-available	A0A1B0GTH6	protein-coding gene
HGNC:2466	CSPG4	CSPG4A;MSK16;HMW-MAA;MEL-CSPG;MCSP;MCSPG;NG2	Q6UVK1	protein-coding gene
HGNC:2467	CSPG5	NGC	O95196	protein-coding gene
HGNC:26193	CSPP1	CSPP-L;JBTS21;FLJ22490;CSPP	Q1MSJ5	protein-coding gene
HGNC:14300	CSRNP1	FAM130B;DKFZp566F164;TAIP-3;URAX1	Q96S65	protein-coding gene
HGNC:16006	CSRNP2	PPP1R72;C12ORF2;TAIP-12	Q9H175	protein-coding gene
HGNC:30729	CSRNP3	FLJ32093;PPP1R73;TAIP-2	Q8WYN3	protein-coding gene
HGNC:2469	CSRP1	CSRP;D1S181E	P21291	protein-coding gene
HGNC:2470	CSRP2	SmLIM;LMO5;CRP2	Q16527	protein-coding gene
HGNC:2472	CSRP3	MLP;CMD1M;CLP	P50461	protein-coding gene
HGNC:2473	CST1	not-available	P01037	protein-coding gene
HGNC:15959	CST11	CTES2;dJ322G13.6	Q9H112	protein-coding gene
HGNC:2474	CST2	not-available	P09228	protein-coding gene
HGNC:2475	CST3	not-available	P01034	protein-coding gene
HGNC:2476	CST4	not-available	P01036	protein-coding gene
HGNC:2477	CST5	not-available	P28325	protein-coding gene
HGNC:2478	CST6	not-available	Q15828	protein-coding gene
HGNC:2479	CST7	not-available	O76096	protein-coding gene
HGNC:2480	CST8	CTES5;CRES	O60676	protein-coding gene
HGNC:13261	CST9	CLM;CTES7A	Q5W186	protein-coding gene
HGNC:16233	CST9L	CTES7B;bA218C14.1	Q9H4G1	protein-coding gene
HGNC:39552	CST9LP1	CTES7C	Q5W188	pseudogene
HGNC:2481	CSTA	not-available	P01040	protein-coding gene
HGNC:2482	CSTB	CST6;PME	P04080	protein-coding gene
HGNC:2483	CSTF1	not-available	Q05048	protein-coding gene
HGNC:2484	CSTF2	CstF-64	P33240	protein-coding gene
HGNC:17086	CSTF2T	CstF-64T;KIAA0689;DKFZp434C1013;tauCstF-64	Q9H0L4	protein-coding gene
HGNC:2485	CSTF3	CstF-77	Q12996	protein-coding gene
HGNC:15958	CSTL1	CTES1;dJ322G13.4	Q9H114	protein-coding gene
HGNC:28720	CSTPP1	FLJ22210;MGC4707	Q9H6J7	protein-coding gene
HGNC:33267	CT45A1	CT45.1;CT45-1	Q5HYN5	protein-coding gene
HGNC:51263	CT45A10	not-available	P0DMU9	protein-coding gene
HGNC:28400	CT45A2	CT45-2;CT45.2	Q5DJT8	protein-coding gene
HGNC:33268	CT45A3	CT45.4;CT45-3;CT45-4;CT45.3	Q8NHU0	protein-coding gene
HGNC:33270	CT45A5	CT45.5;CT45-5	P0DMU8	protein-coding gene
HGNC:33271	CT45A6	CT45.6;CT45-6	P0DMU7	protein-coding gene
HGNC:51260	CT45A7	not-available	P0DMV0	protein-coding gene
HGNC:51261	CT45A8	not-available	P0DMV1	protein-coding gene
HGNC:51262	CT45A9	not-available	P0DMV2	protein-coding gene
HGNC:33282	CT47A1	CT47.1	Q5JQC4	protein-coding gene
HGNC:33291	CT47A10	CT47.10	Q5JQC4	protein-coding gene
HGNC:27397	CT47A11	CT47.11	Q5JQC4	protein-coding gene
HGNC:33292	CT47A12	CT47.12	Q5JQC4	protein-coding gene
HGNC:33283	CT47A2	CT47.2	Q5JQC4	protein-coding gene
HGNC:33284	CT47A3	CT47.3	Q5JQC4	protein-coding gene
HGNC:33285	CT47A4	CT47.4	Q5JQC4	protein-coding gene
HGNC:33286	CT47A5	CT47.5	Q5JQC4	protein-coding gene
HGNC:33287	CT47A6	CT47.6	Q5JQC4	protein-coding gene
HGNC:33288	CT47A7	CT47.7	Q5JQC4	protein-coding gene
HGNC:33289	CT47A8	CT47.8	Q5JQC4	protein-coding gene
HGNC:33290	CT47A9	CT47.9	Q5JQC4	protein-coding gene
HGNC:33293	CT47B1	CT47.13	P0C2W7	protein-coding gene
HGNC:53820	CT47C1	not-available	A0A0U1RQG5	protein-coding gene
HGNC:26047	CT55	FLJ20527	Q8WUE5	protein-coding gene
HGNC:27286	CT62	not-available	P0C5K7	non-coding RNA
HGNC:33494	CT83	KK-LC-1;FLJ22913;FLJ20611	Q5H943	protein-coding gene
HGNC:24198	CTAG1A	LAGE2A;ESO1	P78358	protein-coding gene
HGNC:2491	CTAG1B	LAGE2A;ESO1;NY-ESO-1;CT6.1;LAGE2B	P78358	protein-coding gene
HGNC:2492	CTAG2	LAGE1;MGC3803;ESO2;CT6.2b;LAGE-1b;MGC138724;CT6.2a;LAGE-1a;LAGE-1;CAMEL	O75638	protein-coding gene
HGNC:24346	CTAGE1	CTAGE;cTAGE-1;CT21.1;cTAGE-2;CT21.2	Q96RT6;Q9HC47	protein-coding gene
HGNC:37295	CTAGE15	not-available	A4D2H0	protein-coding gene
HGNC:24348	CTAGE3P	cTAGE-3	Q8IX95	pseudogene
HGNC:24772	CTAGE4	cTAGE-4;FLJ43692	Q8IX94	protein-coding gene
HGNC:28644	CTAGE6	MGC41943	Q86UF2	protein-coding gene
HGNC:37294	CTAGE8	not-available	P0CG41	protein-coding gene
HGNC:37275	CTAGE9	not-available	A4FU28	protein-coding gene
HGNC:2494	CTBP1	BARS	Q13363	protein-coding gene
HGNC:28307	CTBP1-DT	MGC21675	C0HM98	non-coding RNA
HGNC:2495	CTBP2	ribeye	P56545	protein-coding gene
HGNC:2496	CTBS	not-available	Q01459	protein-coding gene
HGNC:26169	CTC1	AAF132;FLJ22170	Q2NKJ3	protein-coding gene
HGNC:13723	CTCF	CFAP108;FAP108	P49711	protein-coding gene
HGNC:16234	CTCFL	CT27;BORIS;dJ579F20.2	Q8NI51	protein-coding gene
HGNC:19085	CTDNEP1	HSA011916;NET56	O95476	protein-coding gene
HGNC:2498	CTDP1	FCP1	Q9Y5B0	protein-coding gene
HGNC:21614	CTDSP1	SCP1;NLIIF	Q9GZU7	protein-coding gene
HGNC:17077	CTDSP2	SCP2;OS4;PSR2	O14595	protein-coding gene
HGNC:16890	CTDSPL	PSR1;HYA22;RBSP3;SCP3	O15194	protein-coding gene
HGNC:26936	CTDSPL2	HSPC129;FLJ10523	Q05D32	protein-coding gene
HGNC:2499	CTF1	CT-1;CT1	Q16619	protein-coding gene
HGNC:2501	CTH	CSE	P32929	protein-coding gene
HGNC:18831	CTHRC1	not-available	Q96CG8	protein-coding gene
HGNC:23925	CTIF	not-available	O43310	protein-coding gene
HGNC:2505	CTLA4	GSE;CD152;CD;CTLA-4	P16410	protein-coding gene
HGNC:2509	CTNNA1	CAP102	P35221	protein-coding gene
HGNC:2510	CTNNA2	CT114;CAP-R	P26232	protein-coding gene
HGNC:2511	CTNNA3	MGC26194;VR22	Q9UI47	protein-coding gene
HGNC:2512	CTNNAL1	CLLP;alpha-CATU	Q9UBT7	protein-coding gene
HGNC:2514	CTNNB1	armadillo;beta-catenin	P35222	protein-coding gene
HGNC:16913	CTNNBIP1	MGC15093;ICAT	Q9NSA3	protein-coding gene
HGNC:15879	CTNNBL1	FLJ21108;P14L;NAP;P14;NYD-SP19	Q8WYA6	protein-coding gene
HGNC:2515	CTNND1	p120;KIAA0384;p120ctn;p120cas	O60716	protein-coding gene
HGNC:2516	CTNND2	GT24;NPRAP	Q9UQB3	protein-coding gene
HGNC:2518	CTNS	CTNS-LSB;SLC66A4;PQLC4	O60931	protein-coding gene
HGNC:2519	CTPS1	GATD5A	P17812	protein-coding gene
HGNC:2520	CTPS2	GATD5B	Q9NRF8	protein-coding gene
HGNC:16850	CTR9	TSBP;p150TSP;KIAA0155	Q6PD62	protein-coding gene
HGNC:2521	CTRB1	not-available	P17538	protein-coding gene
HGNC:2522	CTRB2	not-available	Q6GPI1	protein-coding gene
HGNC:2523	CTRC	ELA4;CLCR	Q99895	protein-coding gene
HGNC:2524	CTRL	CTRL1	P40313	protein-coding gene
HGNC:9251	CTSA	not-available	P10619	protein-coding gene
HGNC:2527	CTSB	not-available	P07858	protein-coding gene
HGNC:2528	CTSC	DPP1	P53634	protein-coding gene
HGNC:2529	CTSD	CLN10	P07339	protein-coding gene
HGNC:2530	CTSE	not-available	P14091	protein-coding gene
HGNC:2531	CTSF	CATSF;CLN13	Q9UBX1	protein-coding gene
HGNC:2532	CTSG	CG	P08311	protein-coding gene
HGNC:2535	CTSH	ACC-4;ACC5;ACC-5;ACC4	P09668	protein-coding gene
HGNC:2536	CTSK	PKND	P43235	protein-coding gene
HGNC:2537	CTSL	FLJ31037	P07711	protein-coding gene
HGNC:33132	CTSL3P	HCTSL-s	Q5NE16	pseudogene
HGNC:2542	CTSO	not-available	P43234	protein-coding gene
HGNC:2545	CTSS	not-available	P25774	protein-coding gene
HGNC:2538	CTSV	CTSU	O60911	protein-coding gene
HGNC:2546	CTSW	not-available	P56202	protein-coding gene
HGNC:2547	CTSZ	CTSX	Q9UBR2	protein-coding gene
HGNC:3338	CTTN	not-available	Q14247	protein-coding gene
HGNC:15679	CTTNBP2	KIAA1758;Orf4	Q8WZ74	protein-coding gene
HGNC:25330	CTTNBP2NL	DKFZp547A023	Q9P2B4	protein-coding gene
HGNC:29590	CTU1	MGC17332;NCS6	Q7Z7A3	protein-coding gene
HGNC:28005	CTU2	NCS2	Q2VPK5	protein-coding gene
HGNC:31108	CTXN1	FLJ25968	P60606	protein-coding gene
HGNC:31109	CTXN2	not-available	P0C2S0	protein-coding gene
HGNC:31110	CTXN3	not-available	Q4LDR2	protein-coding gene
HGNC:50507	CTXND1	not-available	A0A1B0GTU2	protein-coding gene
HGNC:53440	CTXND2	not-available	A0A1B0GV90	protein-coding gene
HGNC:2548	CUBN	gp280;IFCR	O60494	protein-coding gene
HGNC:31350	CUEDC1	not-available	Q9NWM3	protein-coding gene
HGNC:28352	CUEDC2	MGC2491	Q9H467	protein-coding gene
HGNC:2551	CUL1	not-available	Q13616	protein-coding gene
HGNC:2552	CUL2	not-available	Q13617	protein-coding gene
HGNC:2553	CUL3	not-available	Q13618	protein-coding gene
HGNC:2554	CUL4A	not-available	Q13619	protein-coding gene
HGNC:2555	CUL4B	not-available	Q13620	protein-coding gene
HGNC:2556	CUL5	VACM-1	Q93034	protein-coding gene
HGNC:21024	CUL7	dJ20C7.5	Q14999	protein-coding gene
HGNC:15982	CUL9	PARC;KIAA0708;H7AP1	Q8IWT3	protein-coding gene
HGNC:21101	CUTA	not-available	O60888	protein-coding gene
HGNC:24271	CUTC	CGI-32	Q9NTM9	protein-coding gene
